sample,chrom,bin,n_softclipped_reads,median_softclip,max_softclip,region
sample2,GL000220.1,110000,1167,21.0,45,chrGL000220.1:110000
sample2,10,43609000,1101,19.0,27,chr10:43609000
sample2,7,55086000,1012,29.0,43,chr7:55086000
sample2,GL000220.1,158000,988,21.0,48,chrGL000220.1:158000
sample2,GL000220.1,114000,974,21.0,48,chrGL000220.1:114000
sample2,GL000220.1,109000,968,21.0,47,chrGL000220.1:109000
sample2,2,113992000,965,31.0,41,chr2:113992000
sample2,GL000220.1,154000,962,21.0,45,chrGL000220.1:154000
sample2,GL000220.1,112000,951,21.0,44,chrGL000220.1:112000
sample2,GL000220.1,156000,948,21.0,44,chrGL000220.1:156000
sample2,10,51582000,900,35.0,38,chr10:51582000
sample2,GL000220.1,117000,865,21.0,48,chrGL000220.1:117000
sample2,GL000220.1,153000,849,21.0,47,chrGL000220.1:153000
sample2,2,29446000,770,23.0,40,chr2:29446000
sample2,15,88483000,744,25.0,43,chr15:88483000
sample2,7,97991000,725,26.0,29,chr7:97991000
sample2,6,144508000,672,15.0,29,chr6:144508000
sample2,7,97984000,667,26.0,29,chr7:97984000
sample2,10,32306000,663,47.0,50,chr10:32306000
sample2,2,42522000,646,47.0,50,chr2:42522000
sample2,GL000220.1,161000,614,21.0,48,chrGL000220.1:161000
sample2,2,231437000,600,25.0,25,chr2:231437000
sample2,19,42012000,552,25.0,25,chr19:42012000
sample2,12,12022000,524,47.0,49,chr12:12022000
sample2,15,90631000,498,21.0,51,chr15:90631000
sample2,21,9827000,391,21.0,47,chr21:9827000
sample2,19,34890000,305,21.0,49,chr19:34890000
sample2,20,57484000,301,21.0,108,chr20:57484000
sample2,7,140481000,282,24.0,48,chr7:140481000
sample2,7,140494000,254,19.0,46,chr7:140494000
sample2,GL000220.1,160000,238,21.0,48,chrGL000220.1:160000
sample2,GL000220.1,116000,230,21.0,48,chrGL000220.1:116000
sample2,9,35059000,215,23.0,43,chr9:35059000
sample2,12,20704000,171,21.0,43,chr12:20704000
sample2,7,140482000,149,20.0,52,chr7:140482000
sample2,3,12641000,134,23.0,44,chr3:12641000
sample2,1,91852000,130,21.0,40,chr1:91852000
sample2,2,29445000,120,21.0,43,chr2:29445000
sample2,8,38271000,112,21.0,47,chr8:38271000
sample2,GL000220.1,118000,110,21.0,43,chrGL000220.1:118000
sample2,3,128525000,108,20.0,40,chr3:128525000
sample2,7,140477000,97,20.0,42,chr7:140477000
sample2,11,533000,89,18.0,41,chr11:533000
sample2,11,534000,89,21.0,45,chr11:534000
sample2,10,43612000,83,20.0,43,chr10:43612000
sample2,17,39038000,74,22.5,37,chr17:39038000
sample2,8,70602000,69,21.0,42,chr8:70602000
sample2,19,59063000,67,26.0,46,chr19:59063000
sample2,7,55087000,66,29.0,29,chr7:55087000
sample2,3,12421000,63,16.0,34,chr3:12421000
sample2,1,156100000,61,27.0,43,chr1:156100000
sample2,1,156845000,61,26.0,49,chr1:156845000
sample2,3,12645000,58,19.5,36,chr3:12645000
sample2,14,105246000,56,22.0,41,chr14:105246000
sample2,7,55223000,52,17.0,19,chr7:55223000
sample2,7,140500000,52,21.5,45,chr7:140500000
sample2,8,38277000,51,28.0,40,chr8:38277000
sample2,15,66727000,50,23.0,44,chr15:66727000
sample2,2,43625000,49,23.0,43,chr2:43625000
sample2,2,33141000,45,23.0,37,chr2:33141000
sample2,6,117642000,43,18.0,41,chr6:117642000
sample2,20,57478000,41,27.0,41,chr20:57478000
sample2,15,90633000,40,22.0,42,chr15:90633000
sample2,1,115258000,38,20.0,48,chr1:115258000
sample2,12,25398000,36,21.5,39,chr12:25398000
sample2,3,12650000,36,23.0,48,chr3:12650000
sample2,7,140487000,36,27.0,48,chr7:140487000
sample2,15,90630000,34,21.0,49,chr15:90630000
sample2,3,12632000,33,22.0,36,chr3:12632000
sample2,8,38279000,32,23.0,46,chr8:38279000
sample2,20,57480000,31,28.0,151,chr20:57480000
sample2,15,88476000,30,23.0,37,chr15:88476000
sample2,8,38275000,30,21.5,50,chr8:38275000
sample2,3,12647000,28,21.0,36,chr3:12647000
sample2,6,117645000,28,19.0,44,chr6:117645000
sample2,1,115256000,27,21.0,30,chr1:115256000
sample2,15,66729000,27,21.0,32,chr15:66729000
sample2,3,12633000,27,21.0,35,chr3:12633000
sample2,8,38315000,27,21.0,38,chr8:38315000
sample2,2,43655000,26,30.0,38,chr2:43655000
sample2,7,140476000,26,28.0,44,chr7:140476000
sample2,2,43712000,25,21.0,42,chr2:43712000
sample2,9,35057000,25,21.0,41,chr9:35057000
sample2,1,154130000,24,23.0,44,chr1:154130000
sample2,2,43547000,24,19.0,46,chr2:43547000
sample2,3,41266000,23,22.0,37,chr3:41266000
sample2,8,38273000,23,17.0,37,chr8:38273000
sample2,GL000220.1,111000,22,23.0,32,chrGL000220.1:111000
sample2,GL000220.1,155000,22,23.0,32,chrGL000220.1:155000
sample2,8,38285000,21,21.0,43,chr8:38285000
sample2,MT,1000,21,130.0,151,chrMT:1000
sample2,2,43725000,18,27.0,41,chr2:43725000
sample2,3,178952000,17,17.0,31,chr3:178952000
sample2,7,140507000,17,41.0,42,chr7:140507000
sample2,8,38314000,17,29.0,40,chr8:38314000
sample2,4,1808000,16,19.0,38,chr4:1808000
sample2,7,116417000,16,19.5,38,chr7:116417000
sample2,MT,2000,16,135.5,151,chrMT:2000
sample2,3,12447000,15,25.0,25,chr3:12447000
sample2,14,50053000,14,21.0,33,chr14:50053000
sample2,4,25665000,14,48.0,48,chr4:25665000
sample2,3,128516000,13,21.0,35,chr3:128516000
sample2,8,38283000,13,21.0,47,chr8:38283000
sample2,14,50329000,12,21.0,28,chr14:50329000
sample2,2,29443000,12,19.0,43,chr2:29443000
sample2,5,149784000,12,48.0,49,chr5:149784000
sample2,6,117641000,12,24.0,26,chr6:117641000
sample2,8,38282000,12,26.0,35,chr8:38282000
sample2,10,43613000,11,26.0,38,chr10:43613000
sample2,2,43571000,11,20.0,21,chr2:43571000
sample2,3,128532000,11,26.0,27,chr3:128532000
sample2,12,25380000,10,20.0,26,chr12:25380000
sample2,12,52639000,10,15.0,15,chr12:52639000
sample2,19,59065000,10,27.0,36,chr19:59065000
sample2,7,154845000,10,36.0,37,chr7:154845000
sample2,20,57485000,9,21.0,39,chr20:57485000
sample2,1,91853000,8,21.0,21,chr1:91853000
sample2,14,105243000,8,34.0,42,chr14:105243000
sample2,2,42515000,8,42.0,45,chr2:42515000
sample2,2,43732000,8,27.5,46,chr2:43732000
sample2,3,128444000,8,28.0,28,chr3:128444000
sample2,6,117647000,8,31.0,31,chr6:117647000
sample2,7,116395000,8,21.0,34,chr7:116395000
sample2,7,116411000,8,20.0,34,chr7:116411000
sample2,7,140501000,8,22.5,30,chr7:140501000
sample2,8,38274000,8,27.0,36,chr8:38274000
sample2,8,38325000,8,24.0,36,chr8:38325000
sample2,9,135273000,8,24.0,27,chr9:135273000
sample2,MT,0,8,139.0,151,chrMT:0
sample2,10,43610000,7,22.0,40,chr10:43610000
sample2,15,90632000,7,23.0,46,chr15:90632000
sample2,17,37880000,7,19.0,25,chr17:37880000
sample2,19,41758000,7,17.0,30,chr19:41758000
sample2,3,12653000,7,25.0,40,chr3:12653000
sample2,15,90628000,6,20.5,22,chr15:90628000
sample2,15,94001000,6,16.0,16,chr15:94001000
sample2,20,57470000,6,24.5,33,chr20:57470000
sample2,3,178936000,6,22.0,26,chr3:178936000
sample2,6,117639000,6,25.0,41,chr6:117639000
sample2,7,32960000,6,27.0,27,chr7:32960000
sample2,7,140508000,6,41.0,42,chr7:140508000
sample2,8,38272000,6,26.5,42,chr8:38272000
sample2,9,79186000,6,21.0,21,chr9:79186000
sample2,MT,3000,6,140.0,151,chrMT:3000
sample2,X,74803000,6,22.0,28,chrX:74803000
sample2,12,25403000,5,30.0,30,chr12:25403000
sample2,17,33478000,5,19.0,21,chr17:33478000
sample2,19,39897000,5,16.0,16,chr19:39897000
sample2,19,41736000,5,21.0,27,chr19:41736000
sample2,7,116415000,5,29.0,29,chr7:116415000
sample2,9,87342000,5,30.0,30,chr9:87342000
sample2,9,87366000,5,15.0,19,chr9:87366000
sample2,1,112185000,4,19.5,20,chr1:112185000
sample2,1,150195000,4,25.0,25,chr1:150195000
sample2,10,123353000,4,19.5,21,chr10:123353000
sample2,11,58364000,4,34.0,34,chr11:58364000
sample2,12,25378000,4,20.0,21,chr12:25378000
sample2,12,49416000,4,15.0,15,chr12:49416000
sample2,14,105258000,4,24.5,26,chr14:105258000
sample2,17,37881000,4,23.0,59,chr17:37881000
sample2,17,61794000,4,21.0,21,chr17:61794000
sample2,18,66344000,4,31.0,31,chr18:66344000
sample2,2,29448000,4,20.0,21,chr2:29448000
sample2,2,29551000,4,29.0,40,chr2:29551000
sample2,2,209110000,4,19.0,21,chr2:209110000
sample2,20,32674000,4,15.0,15,chr20:32674000
sample2,3,12422000,4,32.0,50,chr3:12422000
sample2,3,15780000,4,21.0,21,chr3:15780000
sample2,3,96812000,4,22.0,22,chr3:96812000
sample2,3,128514000,4,25.0,33,chr3:128514000
sample2,4,1807000,4,20.0,20,chr4:1807000
sample2,6,36075000,4,50.0,50,chr6:36075000
sample2,8,32463000,4,21.0,21,chr8:32463000
sample2,8,38287000,4,22.5,27,chr8:38287000
sample2,9,87317000,4,19.0,19,chr9:87317000
sample2,9,131451000,4,22.0,22,chr9:131451000
sample2,9,135248000,4,15.0,15,chr9:135248000
sample2,9,135254000,4,23.0,23,chr9:135254000
sample2,X,11529000,4,15.0,15,chrX:11529000
sample2,X,108297000,4,18.5,21,chrX:108297000
sample2,1,115252000,3,27.0,32,chr1:115252000
sample2,15,66735000,3,32.0,32,chr15:66735000
sample2,15,90634000,3,38.0,44,chr15:90634000
sample2,17,56409000,3,32.0,32,chr17:56409000
sample2,19,59062000,3,18.0,25,chr19:59062000
sample2,2,43458000,3,47.0,47,chr2:43458000
sample2,2,43520000,3,37.0,37,chr2:43520000
sample2,20,57466000,3,24.0,42,chr20:57466000
sample2,3,12448000,3,26.0,42,chr3:12448000
sample2,3,178951000,3,17.0,26,chr3:178951000
sample2,6,52860000,3,20.0,28,chr6:52860000
sample2,7,32957000,3,27.0,27,chr7:32957000
sample2,7,55241000,3,25.0,25,chr7:55241000
sample2,7,116409000,3,17.0,17,chr7:116409000
sample2,7,140483000,3,24.0,39,chr7:140483000
sample2,8,32462000,3,32.0,32,chr8:32462000
sample2,8,38286000,3,33.0,33,chr8:38286000
sample2,9,87475000,3,16.0,45,chr9:87475000
sample2,9,135271000,3,26.0,37,chr9:135271000
sample2,1,3725000,2,18.0,18,chr1:3725000
sample2,1,18207000,2,18.0,18,chr1:18207000
sample2,1,21486000,2,15.0,15,chr1:21486000
sample2,1,24652000,2,16.0,16,chr1:24652000
sample2,1,33109000,2,16.0,16,chr1:33109000
sample2,1,42223000,2,16.0,16,chr1:42223000
sample2,1,70602000,2,21.0,21,chr1:70602000
sample2,1,79901000,2,21.0,21,chr1:79901000
sample2,1,150330000,2,18.0,18,chr1:150330000
sample2,1,156834000,2,23.0,23,chr1:156834000
sample2,1,162748000,2,20.5,21,chr1:162748000
sample2,1,205634000,2,27.5,28,chr1:205634000
sample2,1,205719000,2,27.0,27,chr1:205719000
sample2,10,43311000,2,16.0,16,chr10:43311000
sample2,10,43600000,2,15.0,15,chr10:43600000
sample2,10,114559000,2,21.0,21,chr10:114559000
sample2,10,121083000,2,21.0,21,chr10:121083000
sample2,11,67203000,2,21.0,21,chr11:67203000
sample2,11,69457000,2,21.5,22,chr11:69457000
sample2,11,85195000,2,21.0,21,chr11:85195000
sample2,11,110858000,2,32.5,37,chr11:110858000
sample2,12,48536000,2,19.0,19,chr12:48536000
sample2,12,117461000,2,20.0,20,chr12:117461000
sample2,12,120554000,2,16.0,17,chr12:120554000
sample2,12,124008000,2,29.5,33,chr12:124008000
sample2,13,43728000,2,21.0,21,chr13:43728000
sample2,13,110076000,2,21.0,21,chr13:110076000
sample2,14,64475000,2,19.0,19,chr14:64475000
sample2,14,105241000,2,19.0,19,chr14:105241000
sample2,15,47803000,2,32.0,32,chr15:47803000
sample2,16,4440000,2,16.0,16,chr16:4440000
sample2,16,33964000,2,21.0,21,chr16:33964000
sample2,16,47091000,2,20.0,20,chr16:47091000
sample2,17,7126000,2,20.0,21,chr17:7126000
sample2,17,7411000,2,16.0,16,chr17:7411000
sample2,17,8160000,2,18.0,18,chr17:8160000
sample2,17,16067000,2,21.0,21,chr17:16067000
sample2,17,26910000,2,19.0,19,chr17:26910000
sample2,17,42397000,2,21.0,21,chr17:42397000
sample2,17,55459000,2,15.0,15,chr17:55459000
sample2,17,80559000,2,22.0,27,chr17:80559000
sample2,19,11553000,2,31.0,31,chr19:11553000
sample2,19,17991000,2,20.5,21,chr19:17991000
sample2,19,23233000,2,15.0,15,chr19:23233000
sample2,19,34887000,2,40.5,41,chr19:34887000
sample2,19,34891000,2,26.0,27,chr19:34891000
sample2,19,41765000,2,20.0,22,chr19:41765000
sample2,19,44791000,2,19.0,19,chr19:44791000
sample2,19,49611000,2,18.0,18,chr19:49611000
sample2,19,52769000,2,18.0,18,chr19:52769000
sample2,19,56657000,2,23.0,23,chr19:56657000
sample2,19,59013000,2,16.0,16,chr19:59013000
sample2,2,26032000,2,25.0,25,chr2:26032000
sample2,2,27572000,2,19.5,20,chr2:27572000
sample2,2,27720000,2,21.0,21,chr2:27720000
sample2,2,29432000,2,31.0,36,chr2:29432000
sample2,2,29450000,2,25.5,26,chr2:29450000
sample2,2,29498000,2,25.0,31,chr2:29498000
sample2,2,30178000,2,24.0,24,chr2:30178000
sample2,2,36369000,2,26.0,26,chr2:36369000
sample2,2,43506000,2,37.0,39,chr2:43506000
sample2,2,43797000,2,39.0,39,chr2:43797000
sample2,2,103522000,2,22.0,22,chr2:103522000
sample2,2,118766000,2,15.0,15,chr2:118766000
sample2,2,133012000,2,21.0,21,chr2:133012000
sample2,2,133038000,2,21.0,21,chr2:133038000
sample2,2,213881000,2,22.5,28,chr2:213881000
sample2,2,227912000,2,16.0,16,chr2:227912000
sample2,20,1925000,2,19.0,19,chr20:1925000
sample2,20,2637000,2,24.0,24,chr20:2637000
sample2,20,32500000,2,25.0,25,chr20:32500000
sample2,21,15497000,2,20.0,21,chr21:15497000
sample2,21,32890000,2,18.0,18,chr21:32890000
sample2,22,43089000,2,21.0,21,chr22:43089000
sample2,3,12420000,2,18.0,18,chr3:12420000
sample2,3,12660000,2,31.0,40,chr3:12660000
sample2,3,12881000,2,20.0,20,chr3:12881000
sample2,3,119812000,2,16.0,16,chr3:119812000
sample2,3,127323000,2,20.5,21,chr3:127323000
sample2,3,128526000,2,35.0,41,chr3:128526000
sample2,3,152091000,2,17.0,17,chr3:152091000
sample2,3,159887000,2,18.0,18,chr3:159887000
sample2,3,169985000,2,18.0,18,chr3:169985000
sample2,4,60304000,2,18.0,18,chr4:60304000
sample2,4,100401000,2,19.0,19,chr4:100401000
sample2,5,71146000,2,17.0,17,chr5:71146000
sample2,5,77790000,2,31.0,31,chr5:77790000
sample2,5,132358000,2,21.0,21,chr5:132358000
sample2,5,175811000,2,15.0,15,chr5:175811000
sample2,6,29857000,2,21.0,21,chr6:29857000
sample2,6,32738000,2,18.0,18,chr6:32738000
sample2,7,55666000,2,18.0,18,chr7:55666000
sample2,7,116435000,2,20.5,21,chr7:116435000
sample2,7,140499000,2,15.0,15,chr7:140499000
sample2,7,143919000,2,34.0,34,chr7:143919000
sample2,7,144025000,2,34.0,34,chr7:144025000
sample2,8,9179000,2,19.0,21,chr8:9179000
sample2,8,27230000,2,21.0,21,chr8:27230000
sample2,8,30242000,2,29.0,29,chr8:30242000
sample2,8,144873000,2,16.0,16,chr8:144873000
sample2,9,35058000,2,26.5,36,chr9:35058000
sample2,9,87338000,2,22.5,25,chr9:87338000
sample2,9,87359000,2,20.0,20,chr9:87359000
sample2,9,96127000,2,18.0,18,chr9:96127000
sample2,9,135266000,2,21.0,21,chr9:135266000
sample2,GL000220.1,101000,2,128.0,128,chrGL000220.1:101000
sample2,MT,5000,2,140.5,151,chrMT:5000
sample2,MT,7000,2,124.0,124,chrMT:7000
sample2,MT,12000,2,103.0,103,chrMT:12000
sample2,MT,14000,2,111.0,111,chrMT:14000
sample2,1,1992000,1,21.0,21,chr1:1992000
sample2,1,16840000,1,25.0,25,chr1:16840000
sample2,1,16993000,1,25.0,25,chr1:16993000
sample2,1,17067000,1,25.0,25,chr1:17067000
sample2,1,17222000,1,25.0,25,chr1:17222000
sample2,1,31532000,1,18.0,18,chr1:31532000
sample2,1,38581000,1,15.0,15,chr1:38581000
sample2,1,39687000,1,40.0,40,chr1:39687000
sample2,1,46735000,1,21.0,21,chr1:46735000
sample2,1,47446000,1,20.0,20,chr1:47446000
sample2,1,51057000,1,31.0,31,chr1:51057000
sample2,1,55223000,1,20.0,20,chr1:55223000
sample2,1,115250000,1,32.0,32,chr1:115250000
sample2,1,145969000,1,25.0,25,chr1:145969000
sample2,1,147511000,1,25.0,25,chr1:147511000
sample2,1,149224000,1,25.0,25,chr1:149224000
sample2,1,149814000,1,21.0,21,chr1:149814000
sample2,1,149822000,1,21.0,21,chr1:149822000
sample2,1,155145000,1,21.0,21,chr1:155145000
sample2,1,162746000,1,22.0,22,chr1:162746000
sample2,1,169914000,1,21.0,21,chr1:169914000
sample2,1,192051000,1,15.0,15,chr1:192051000
sample2,1,196157000,1,20.0,20,chr1:196157000
sample2,1,227192000,1,18.0,18,chr1:227192000
sample2,1,240721000,1,21.0,21,chr1:240721000
sample2,1,245936000,1,19.0,19,chr1:245936000
sample2,10,11112000,1,16.0,16,chr10:11112000
sample2,10,15114000,1,23.0,23,chr10:15114000
sample2,10,32304000,1,23.0,23,chr10:32304000
sample2,10,34963000,1,21.0,21,chr10:34963000
sample2,10,43595000,1,24.0,24,chr10:43595000
sample2,10,50018000,1,21.0,21,chr10:50018000
sample2,10,70856000,1,18.0,18,chr10:70856000
sample2,10,93608000,1,20.0,20,chr10:93608000
sample2,10,104157000,1,20.0,20,chr10:104157000
sample2,10,123263000,1,20.0,20,chr10:123263000
sample2,11,532000,1,30.0,30,chr11:532000
sample2,11,4015000,1,15.0,15,chr11:4015000
sample2,11,5717000,1,19.0,19,chr11:5717000
sample2,11,14990000,1,16.0,16,chr11:14990000
sample2,11,27607000,1,18.0,18,chr11:27607000
sample2,11,33233000,1,21.0,21,chr11:33233000
sample2,11,41564000,1,19.0,19,chr11:41564000
sample2,11,65211000,1,21.0,21,chr11:65211000
sample2,11,66493000,1,20.0,20,chr11:66493000
sample2,11,67261000,1,35.0,35,chr11:67261000
sample2,11,67765000,1,21.0,21,chr11:67765000
sample2,11,69455000,1,36.0,36,chr11:69455000
sample2,11,69456000,1,21.0,21,chr11:69456000
sample2,11,69462000,1,21.0,21,chr11:69462000
sample2,11,77051000,1,21.0,21,chr11:77051000
sample2,11,107712000,1,21.0,21,chr11:107712000
sample2,11,120741000,1,32.0,32,chr11:120741000
sample2,11,124833000,1,20.0,20,chr11:124833000
sample2,12,4385000,1,21.0,21,chr12:4385000
sample2,12,12023000,1,27.0,27,chr12:12023000
sample2,12,15095000,1,16.0,16,chr12:15095000
sample2,12,25362000,1,18.0,18,chr12:25362000
sample2,12,25460000,1,19.0,19,chr12:25460000
sample2,12,56120000,1,22.0,22,chr12:56120000
sample2,12,108757000,1,28.0,28,chr12:108757000
sample2,13,53041000,1,20.0,20,chr13:53041000
sample2,13,92629000,1,23.0,23,chr13:92629000
sample2,14,35015000,1,25.0,25,chr14:35015000
sample2,14,35025000,1,25.0,25,chr14:35025000
sample2,14,54871000,1,19.0,19,chr14:54871000
sample2,14,75601000,1,21.0,21,chr14:75601000
sample2,14,90178000,1,25.0,25,chr14:90178000
sample2,14,100752000,1,19.0,19,chr14:100752000
sample2,14,105261000,1,17.0,17,chr14:105261000
sample2,15,42608000,1,21.0,21,chr15:42608000
sample2,15,44061000,1,20.0,20,chr15:44061000
sample2,15,66803000,1,20.0,20,chr15:66803000
sample2,15,68050000,1,19.0,19,chr15:68050000
sample2,15,88472000,1,41.0,41,chr15:88472000
sample2,15,88669000,1,21.0,21,chr15:88669000
sample2,15,88727000,1,19.0,19,chr15:88727000
sample2,15,93554000,1,20.0,20,chr15:93554000
sample2,16,137000,1,21.0,21,chr16:137000
sample2,16,3589000,1,15.0,15,chr16:3589000
sample2,16,53067000,1,21.0,21,chr16:53067000
sample2,16,57398000,1,21.0,21,chr16:57398000
sample2,16,57608000,1,21.0,21,chr16:57608000
sample2,16,74507000,1,20.0,20,chr16:74507000
sample2,17,1303000,1,34.0,34,chr17:1303000
sample2,17,4593000,1,18.0,18,chr17:4593000
sample2,17,5278000,1,21.0,21,chr17:5278000
sample2,17,25974000,1,21.0,21,chr17:25974000
sample2,17,28087000,1,21.0,21,chr17:28087000
sample2,17,29294000,1,28.0,28,chr17:29294000
sample2,17,37838000,1,86.0,86,chr17:37838000
sample2,18,50021000,1,15.0,15,chr18:50021000
sample2,19,581000,1,17.0,17,chr19:581000
sample2,19,1411000,1,21.0,21,chr19:1411000
sample2,19,2046000,1,21.0,21,chr19:2046000
sample2,19,15350000,1,17.0,17,chr19:15350000
sample2,19,19832000,1,19.0,19,chr19:19832000
sample2,19,21492000,1,21.0,21,chr19:21492000
sample2,19,33256000,1,21.0,21,chr19:33256000
sample2,19,34884000,1,17.0,17,chr19:34884000
sample2,19,41762000,1,15.0,15,chr19:41762000
sample2,19,53089000,1,21.0,21,chr19:53089000
sample2,2,17790000,1,16.0,16,chr2:17790000
sample2,2,24580000,1,34.0,34,chr2:24580000
sample2,2,29550000,1,26.0,26,chr2:29550000
sample2,2,40058000,1,17.0,17,chr2:40058000
sample2,2,43459000,1,21.0,21,chr2:43459000
sample2,2,43560000,1,22.0,22,chr2:43560000
sample2,2,43624000,1,39.0,39,chr2:43624000
sample2,2,43711000,1,16.0,16,chr2:43711000
sample2,2,43735000,1,32.0,32,chr2:43735000
sample2,2,43779000,1,32.0,32,chr2:43779000
sample2,2,43819000,1,28.0,28,chr2:43819000
sample2,2,61257000,1,18.0,18,chr2:61257000
sample2,2,113993000,1,41.0,41,chr2:113993000
sample2,2,134592000,1,19.0,19,chr2:134592000
sample2,2,217364000,1,21.0,21,chr2:217364000
sample2,20,3850000,1,20.0,20,chr20:3850000
sample2,20,10277000,1,24.0,24,chr20:10277000
sample2,20,35833000,1,20.0,20,chr20:35833000
sample2,20,39794000,1,21.0,21,chr20:39794000
sample2,20,40476000,1,21.0,21,chr20:40476000
sample2,20,57475000,1,42.0,42,chr20:57475000
sample2,21,9826000,1,21.0,21,chr21:9826000
sample2,21,45749000,1,21.0,21,chr21:45749000
sample2,22,34391000,1,21.0,21,chr22:34391000
sample2,22,41919000,1,21.0,21,chr22:41919000
sample2,22,44563000,1,19.0,19,chr22:44563000
sample2,22,50187000,1,28.0,28,chr22:50187000
sample2,3,12329000,1,15.0,15,chr3:12329000
sample2,3,12353000,1,44.0,44,chr3:12353000
sample2,3,12434000,1,22.0,22,chr3:12434000
sample2,3,12687000,1,33.0,33,chr3:12687000
sample2,3,13033000,1,23.0,23,chr3:13033000
sample2,3,17783000,1,18.0,18,chr3:17783000
sample2,3,40499000,1,17.0,17,chr3:40499000
sample2,3,41241000,1,24.0,24,chr3:41241000
sample2,3,41265000,1,25.0,25,chr3:41265000
sample2,3,47173000,1,20.0,20,chr3:47173000
sample2,3,49139000,1,20.0,20,chr3:49139000
sample2,3,57921000,1,21.0,21,chr3:57921000
sample2,3,63709000,1,15.0,15,chr3:63709000
sample2,3,67582000,1,25.0,25,chr3:67582000
sample2,3,69172000,1,19.0,19,chr3:69172000
sample2,3,121553000,1,20.0,20,chr3:121553000
sample2,3,128517000,1,31.0,31,chr3:128517000
sample2,3,169482000,1,25.0,25,chr3:169482000
sample2,3,169881000,1,21.0,21,chr3:169881000
sample2,3,184045000,1,17.0,17,chr3:184045000
sample2,4,146000,1,21.0,21,chr4:146000
sample2,4,1746000,1,30.0,30,chr4:1746000
sample2,4,1803000,1,18.0,18,chr4:1803000
sample2,4,2914000,1,21.0,21,chr4:2914000
sample2,4,5282000,1,21.0,21,chr4:5282000
sample2,4,10612000,1,15.0,15,chr4:10612000
sample2,4,78005000,1,20.0,20,chr4:78005000
sample2,4,127192000,1,15.0,15,chr4:127192000
sample2,4,144468000,1,43.0,43,chr4:144468000
sample2,4,151885000,1,18.0,18,chr4:151885000
sample2,4,170187000,1,18.0,18,chr4:170187000
sample2,4,186132000,1,16.0,16,chr4:186132000
sample2,4,186263000,1,21.0,21,chr4:186263000
sample2,5,32334000,1,46.0,46,chr5:32334000
sample2,5,53902000,1,20.0,20,chr5:53902000
sample2,5,93024000,1,23.0,23,chr5:93024000
sample2,5,98765000,1,18.0,18,chr5:98765000
sample2,5,99671000,1,18.0,18,chr5:99671000
sample2,5,126393000,1,20.0,20,chr5:126393000
sample2,5,138281000,1,21.0,21,chr5:138281000
sample2,5,143572000,1,18.0,18,chr5:143572000
sample2,5,153771000,1,21.0,21,chr5:153771000
sample2,6,392000,1,21.0,21,chr6:392000
sample2,6,12149000,1,21.0,21,chr6:12149000
sample2,6,24936000,1,28.0,28,chr6:24936000
sample2,6,26104000,1,21.0,21,chr6:26104000
sample2,6,27776000,1,20.0,20,chr6:27776000
sample2,6,27782000,1,20.0,20,chr6:27782000
sample2,6,32080000,1,28.0,28,chr6:32080000
sample2,6,54635000,1,24.0,24,chr6:54635000
sample2,6,117730000,1,24.0,24,chr6:117730000
sample2,6,122049000,1,18.0,18,chr6:122049000
sample2,6,155595000,1,15.0,15,chr6:155595000
sample2,7,2701000,1,18.0,18,chr7:2701000
sample2,7,5566000,1,15.0,15,chr7:5566000
sample2,7,32969000,1,27.0,27,chr7:32969000
sample2,7,32973000,1,32.0,32,chr7:32973000
sample2,7,35208000,1,15.0,15,chr7:35208000
sample2,7,35924000,1,27.0,27,chr7:35924000
sample2,7,38854000,1,20.0,20,chr7:38854000
sample2,7,40430000,1,20.0,20,chr7:40430000
sample2,7,55249000,1,21.0,21,chr7:55249000
sample2,7,55259000,1,28.0,28,chr7:55259000
sample2,7,70794000,1,21.0,21,chr7:70794000
sample2,7,74536000,1,21.0,21,chr7:74536000
sample2,7,98956000,1,20.0,20,chr7:98956000
sample2,7,99036000,1,15.0,15,chr7:99036000
sample2,7,105741000,1,15.0,15,chr7:105741000
sample2,7,116339000,1,20.0,20,chr7:116339000
sample2,7,116394000,1,25.0,25,chr7:116394000
sample2,7,116418000,1,16.0,16,chr7:116418000
sample2,7,127484000,1,21.0,21,chr7:127484000
sample2,7,139257000,1,21.0,21,chr7:139257000
sample2,7,139370000,1,20.0,20,chr7:139370000
sample2,7,140478000,1,32.0,32,chr7:140478000
sample2,7,140534000,1,46.0,46,chr7:140534000
sample2,7,140549000,1,24.0,24,chr7:140549000
sample2,7,141136000,1,25.0,25,chr7:141136000
sample2,7,145673000,1,19.0,19,chr7:145673000
sample2,8,26489000,1,49.0,49,chr8:26489000
sample2,8,29885000,1,20.0,20,chr8:29885000
sample2,8,32453000,1,25.0,25,chr8:32453000
sample2,8,38269000,1,29.0,29,chr8:38269000
sample2,8,38270000,1,20.0,20,chr8:38270000
sample2,8,41480000,1,36.0,36,chr8:41480000
sample2,8,48553000,1,18.0,18,chr8:48553000
sample2,8,98656000,1,21.0,21,chr8:98656000
sample2,9,286000,1,21.0,21,chr9:286000
sample2,9,14737000,1,16.0,16,chr9:14737000
sample2,9,33111000,1,17.0,17,chr9:33111000
sample2,9,35068000,1,21.0,21,chr9:35068000
sample2,9,35657000,1,20.0,20,chr9:35657000
sample2,9,46023000,1,21.0,21,chr9:46023000
sample2,9,68413000,1,22.0,22,chr9:68413000
